iso3,country,year,agricultural_land_ha,co2_fossil_industry_t,co2_landuse_change_t,agricultural_land_pct,forest_land_pct,pesticide_use_per_cropland_kg_ha,transport_ghg_emissions_mtco2e,total_species_count,endemic_species_small_range,species_high_extinction_risk,pct_households_irrigation,pct_households_fertilizer,freshwater_resources_per_capita,hazardous_waste_generated_kt,so2_emissions_per_capita,nox_emissions_per_capita,climatological_disasters_count
FSM,Micronesia (country),2023,5000.0,,,7.14285714285714,92.1571428571429,6.13,0.09,3959.0,92.0,78.0,,,,,2.860041700796783,11.684693573609351,2.0
MDA,Moldova,2023,2440000.0,,,74.096568478591,11.7370179167932,3.27,2.28,12332.0,0.0,102.0,,,2321.598242821358,5015.17,5.365159887448661,8.918724238173949,2.0
MNG,Mongolia,2023,107467240.0,,,68.9555729589301,9.09172405879304,4.45,2.84,5639.0,26.0,53.0,,,,223018.8,,1.2650344891701586,2.0
MNE,Montenegro,2023,263520.0,,,19.5925650557621,61.4869888475836,6.02,0.91,16049.0,32.0,148.0,,,,343884.0,63.5222378194818,16.229499285332857,1.0
MAR,Morocco,2023,29788266.0,,,66.7449381581896,12.9371068787811,1.56,19.0,14578.0,250.0,368.0,,,369.24452739689104,289284.0,19.065639944671155,9.796666373470666,1.0
MOZ,Mozambique,2023,41512332.0,,,52.7891502835779,45.8130349195046,0.54,4.26,15624.0,169.0,246.0,28.7430834583445,,,,,,4.0
MMR,Myanmar,2023,12997332.0,,,19.9140944121838,42.4023779245254,0.94,5.2,20165.0,86.0,359.0,,,,875.0,,0.0005352407953343,
NAM,Namibia,2023,38812000.0,,,47.142562159142,7.80511120018463,1.46,1.97,9584.0,141.0,204.0,,,,,5.739086390098865,21.69269351119938,2.0
NRU,Nauru,2023,400.0,,,20.0,0.0,16.89,0.02,1119.0,1.0,4.0,,,3419.4333672362613,,18.36557206982544,14.959495261845388,
NPL,Nepal,2023,3744100.0,,,26.1185908615277,41.5907220090687,0.6,4.48,7830.0,123.0,132.0,,,,,3.17445744658589,2.7985348542270345,1.0
NLD,Netherlands,2023,1803000.0,,,53.5491535491536,11.0574428274428,6.95,25.86,44198.0,227.0,737.0,,,4616.74165881593,5021596.0,1.1781180583654134,10.807945491181831,
NCL,New Caledonia,2023,184030.0,,,10.0672866520788,45.8271334792123,26.06,,12481.0,1750.0,667.0,,,,,,,
NZL,New Zealand,2023,9711000.0,,,36.8804830807793,37.7892841137822,8.93,14.99,18977.0,2136.0,1505.0,,,,,14.153286726457122,32.197919781001815,1.0
NIC,Nicaragua,2023,5091000.0,,,42.3051354495596,25.8229183978727,8.36,2.48,27797.0,83.0,710.0,,,,,0.0377974359810901,13.849776278965766,2.0
NER,Niger,2023,46598500.0,,,36.7873213862793,0.822957290597616,0.0,1.29,4109.0,1.0,21.0,0.997270038594223,12.2138461784856,,554000.0,126.67017981058572,1.5759897954660744,4.0
NGA,Nigeria,2023,69398210.0,,,76.1972932793131,23.2078900271199,1.09,58.98,10366.0,91.0,94.0,3.92595068887285,37.8379457258334,,,1.5528964592064562,8.214004955276256,1.0
PRK,North Korea,2023,2595300.0,,,21.5538576530189,49.5507017689561,,4.45,9858.0,0.0,177.0,,,,,59.30577957104438,6.813308491182122,3.0
MKD,North Macedonia,2023,1251000.0,,,49.6034892942109,39.7101506740682,0.21,2.3,13912.0,25.0,123.0,,,3889.5609696338606,418177.0,99.4777881177888,16.46404789441557,1.0
NOR,Norway,2023,982000.0,,,2.69580256403217,33.5009745518434,0.78,13.65,42514.0,469.0,1049.0,,,45219.44152096197,1865604.0,2.7322602093801924,26.55946056894985,
